"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","11","Week 11","Number","302788"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","12","Week 12","Number","338888"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","13","Week 13","Number","327226"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","14","Week 14","Number","317690"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","15","Week 15","Number","398787"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","16","Week 16","Number","411255"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","17","Week 17","Number","414958"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","18","Week 18","Number","397630"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","19","Week 19","Number","460196"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","20","Week 20","Number","476938"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","21","Week 21","Number","497019"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","22","Week 22","Number","503412"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","23","Week 23","Number","500566"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","24","Week 24","Number","513231"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","25","Week 25","Number","512834"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","26","Week 26","Number","515383"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","27","Week 27","Number","507907"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","28","Week 28","Number","526467"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","29","Week 29","Number","534571"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","30","Week 30","Number","515382"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","31","Week 31","Number","504869"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","32","Week 32","Number","524890"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","33","Week 33","Number","531446"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","34","Week 34","Number","549047"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","35","Week 35","Number","531509"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","36","Week 36","Number","533924"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","37","Week 37","Number","536930"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","38","Week 38","Number","540797"
